Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
".Bryan County, Oklahoma",46071,46330,47126,48038,48967,2637,5.723774174643485
".Madison County, Alabama",388154,390503,396671,403605,412600,22097,5.692843562091335
".Habersham County, Georgia",46034,46142,46748,47465,48757,2615,5.680583916235825
".San Benito County, California",64210,64530,66709,67643,68175,3645,5.676685874474381
".Cabarrus County, North Carolina",225791,227219,231788,235909,240016,12797,5.667630685014018
".Bell County, Texas",370657,372258,380399,387454,393193,20935,5.64807895169928
".Franklin County, Georgia",23424,23471,23510,24146,24782,1311,5.596823770491803
".Delta County, Texas",5231,5228,5344,5413,5520,292,5.582106671764481
".DeSoto County, Florida",33976,34086,34333,35320,35979,1893,5.5715799387803155
".Caroline County, Virginia",30881,30921,31405,31940,32640,1719,5.566529581295942
".Butte County, South Dakota",10244,10293,10542,10790,10863,570,5.564232721593128
".New Hanover County, North Carolina",225707,226326,230019,235784,238852,12526,5.549672805894367
".Montmorency County, Michigan",9158,9170,9302,9557,9678,508,5.547062677440489
".Bulloch County, Georgia",79646,79922,80671,83038,84327,4405,5.530723451271878
".Cumberland County, Tennessee",61151,61379,62391,63482,64760,3381,5.528936566859087
".Archer County, Texas",8555,8556,8702,8849,9029,473,5.528930450029223
".Fayette County, Tennessee",41721,41870,42616,43338,44175,2305,5.524795666450948
".Trousdale County, Tennessee",11609,11635,11605,12077,12271,636,5.47850805409596
".Keweenaw County, Michigan",2047,2060,2108,2155,2172,112,5.471421592574499
".Upshur County, Texas",40894,41046,41835,42454,43281,2235,5.46534944001565
".Powhatan County, Virginia",30343,30450,31230,31585,32105,1655,5.454305770688462
".Atascosa County, Texas",48977,49128,49817,50736,51784,2656,5.4229536312963225
".Jackson County, North Carolina",43108,42237,42587,43922,44574,2337,5.421267514150506
".Lewis and Clark County, Montana",70970,71177,72507,73784,75011,3834,5.402282654642806
".Sumner County, Tennessee",196285,197416,200505,203721,207994,10578,5.389102580431516
".Douglas County, Missouri",11576,11606,11749,11981,12228,622,5.37318590186593
".Beaverhead County, Montana",9374,9382,9553,9747,9885,503,5.365905696607638
".Warren County, Kentucky",134558,135028,137225,140046,142229,7201,5.351595594464841
".Bonneville County, Idaho",123964,124737,128064,129543,131366,6629,5.347520247813882
".Jefferson County, Tennessee",54682,54916,55547,56660,57838,2922,5.343623130097655
".Ada County, Idaho",494961,498278,513025,519004,524673,26395,5.332743387862882
".James City County, Virginia",78253,78487,79991,81483,82654,4167,5.325035461899224
".Columbia County, Georgia",156013,156865,159662,162471,165162,8297,5.318146564709352
".Clearwater County, Idaho",8728,8750,8925,9035,9214,464,5.316223648029331
".Navarro County, Texas",52623,52838,53637,54687,55635,2797,5.3151663721186555
".Bedford County, Tennessee",50237,50385,51184,51964,53055,2670,5.3148078109759735
